date,CAPE,STP,M2,_OIL,MKT_Target,MKT_Return,lagged_MKT,Daily_IR,MKT_Factor
1990-03-31,0.03655986901573671,-0.07399999999999984,0.015515124632895727,20.39,0.046449487554904856,0.046449487554904856,0.046449487554904856,0.006840383561643836,0.03960910399326102
1990-04-30,-0.01885918091323857,0.053999999999998494,0.024846627580444647,18.55,-0.013116933086152027,-0.013116933086152027,-0.013116933086152027,0.00655972602739726,-0.019676659113549287
1990-05-31,0.07379684306375323,0.1899999999999995,-0.03618595020412263,17.8,0.0823527326859006,0.0823527326859006,0.0823527326859006,0.006645041095890411,0.07570769159001019
1990-06-30,0.0055899871826841085,0.14700000000000024,-0.02247399961686103,16.71,0.014031927957429469,0.014031927957429469,0.014031927957429469,0.00650876712328767,0.007523160834141798
1990-07-31,-0.004954497979055894,0.379999999999999,-0.08465397966479671,20.04,0.002728799328295395,0.002728799328295395,0.002728799328295395,0.006522739726027397,-0.003793940397732002
1990-08-31,-0.1365473630157501,0.7619999999999987,-0.03367710900466969,30.9,-0.11674530200801925,-0.11674530200801925,-0.11674530200801925,0.006453945205479452,-0.1231992472134987
1990-09-30,-0.021480299939307113,0.7959999999999994,-0.039236824322360864,39.58,-0.008842135968350706,-0.008842135968350706,-0.008842135968350706,0.0059712328767123285,-0.014813368845063034
1990-10-31,0.001959658700586786,0.8949999999999987,-0.117061687000513,32.95,0.011477761836441891,0.011477761836441891,0.011477761836441891,0.0060556164383561645,0.0054221453980857265
1990-11-30,0.03723764009266661,0.798,-0.12212339293218788,31.8,0.04393526095653755,0.04393526095653755,0.04393526095653755,0.005878356164383562,0.038056904792153984
1990-12-31,0.042405130942122504,0.8110000000000008,-0.08660298327749016,27.57,0.04788698045500461,0.04788698045500461,0.04788698045500461,0.005478082191780822,0.04240889826322379
1991-01-31,0.015894456263323864,0.935999999999999,0.008796603058672137,24.6,0.025633779403208434,0.025633779403208434,0.025633779403208434,0.005240273972602739,0.020393505430605696
1991-02-28,0.09140918619699656,1.0190000000000001,0.03183912578100312,17.55,0.10110702303191399,0.10110702303191399,0.10110702303191399,0.004703232876712329,0.09640379015520166
1991-03-31,0.030442408149961686,1.0220000000000002,0.047152088714005114,19.63,0.0366821226172076,0.0366821226172076,0.0366821226172076,0.005026246575342466,0.031655876041865136
1991-04-30,0.0036327201280297317,1.1399999999999997,-0.011214603624841502,21.28,0.008434265267582175,0.008434265267582175,0.008434265267582175,0.004760547945205479,0.0036737173223766956
1991-05-31,-0.005100390872281313,1.3779999999999992,0.08528295257235285,21.04,0.0012953915039213282,0.0012953915039213282,0.0012953915039213282,0.004723890410958905,-0.0034284989070375764
1991-06-30,-0.027855417835073837,1.5280000000000005,-0.034022716742903025,20.58,-0.020376021261935273,-0.020376021261935273,-0.020376021261935273,0.004683287671232877,-0.02505930893316815
1991-07-31,0.027855417835073837,1.3820000000000006,-0.05228987058229739,21.51,0.033259646302250756,0.033259646302250756,0.033259646302250756,0.00488441095890411,0.028375235343346645
1991-08-31,0.042441744954557326,1.649,-0.15779172402406472,21.76,0.04991595004237248,0.04991595004237248,0.04991595004237248,0.004715397260273972,0.04520055278209851
1991-09-30,-0.02262098512771038,1.479,-0.12310108067534342,22.35,-0.013973059517823683,-0.013973059517823683,-0.013973059517823683,0.004340547945205479,-0.018313607463029163
1991-10-31,-0.009053714108461008,1.7389999999999999,0.0035295925180012233,23.15,-0.004213747014144231,-0.004213747014144231,-0.004213747014144231,0.0043349041095890415,-0.008548651123733273
1991-11-30,-0.017316215009215874,2.0340000000000007,0.01960731207842148,21.89,-0.011131475392162082,-0.011131475392162082,-0.011131475392162082,0.003742191780821918,-0.014873667172984
1991-12-31,0.08910358530527995,2.0379999999999994,-0.027411304240246626,18.78,0.0983946141895391,0.0983946141895391,0.0983946141895391,0.0033734794520547946,0.0950211347374843
1992-01-31,0.015950252438619028,2.1580000000000004,-0.07604871094037113,19.05,0.020558822799573218,0.020558822799573218,0.020558822799573218,0.003329315068493151,0.017229507731080066
1992-02-29,-0.014999039570581907,2.0440000000000005,0.016067867418992687,18.54,-0.00888699775089652,-0.00888699775089652,-0.00888699775089652,0.003205095890410959,-0.012092093641307478
1992-03-31,-0.019810633733355232,1.9820000000000002,-0.1576587326840957,19.12,-0.011567145871154594,-0.011567145871154594,-0.011567145871154594,0.003477945205479452,-0.015045091076634046
1992-04-30,0.003566519294865955,2.3390000000000004,-0.2007148673421537,20.22,0.007718941189610584,0.007718941189610584,0.007718941189610584,0.003085479452054794,0.00463346173755579
1992-05-31,0.02028916477414766,2.3499999999999996,-0.19415287771348932,22.1,0.025676391266332477,0.025676391266332477,0.025676391266332477,0.0032146575342465755,0.0224617337320859
1992-06-30,-0.04136205227801737,2.3449999999999998,-0.29514851582118684,22.43,-0.034254634521179494,-0.034254634521179494,-0.034254634521179494,0.0030435616438356165,-0.03729819616501511
1992-07-31,0.025994132310817264,2.5920000000000005,-0.0946365609107005,22.01,0.03183937340709897,0.03183937340709897,0.03183937340709897,0.0027076164383561642,0.029131756968742806
1992-08-31,0.009018374848832167,2.622,0.14765252987206967,21.33,0.016169453949587798,0.016169453949587798,0.016169453949587798,0.0026880821917808218,0.013481371757806976
1992-09-30,-0.0016565021482319864,2.6870000000000003,0.23497558307437494,21.68,0.004564964784557368,0.004564964784557368,0.004564964784557368,0.0023827397260273975,0.0021822250585299707
1992-10-31,-0.006299630257714295,2.4879999999999995,0.13805619710799544,21.17,0.0006727807088984239,0.0006727807088984239,0.0006727807088984239,0.0025453972602739725,-0.0018726165513755486
1992-11-30,0.040474107927774394,2.279,-0.0449165034364416,20.37,0.04757018164661475,0.04757018164661475,0.04757018164661475,0.002738630136986301,0.04483155150962845
1992-12-31,0.01789972248226812,2.2200000000000006,-0.15204950446884613,19.95,0.020976658822469574,0.020976658822469574,0.020976658822469574,0.002742438356164384,0.01823422046630519
1993-01-31,-0.017268761702240898,2.284,-0.3285273832200932,20.26,-0.00767568044466016,-0.00767568044466016,-0.00767568044466016,0.002519068493150685,-0.010194748937810845
1993-02-28,-0.0004367765957189462,2.243,-0.9663472182113564,20.56,0.006934874416536951,0.006934874416536951,0.006934874416536951,0.002299068493150685,0.0046358059233862665
1993-03-31,-0.0002912904186049836,2.152,-0.62117131718517,20.42,0.006964372433888144,0.006964372433888144,0.006964372433888144,0.0025326575342465756,0.0044317148996415685
1993-04-30,-0.043871472343251394,2.2039999999999997,0.3981160050580854,19.97,-0.03659779689812026,-0.03659779689812026,-0.03659779689812026,0.0023786301369863013,-0.038976427035106564
1993-05-31,0.029197694746068592,2.0220000000000002,1.1947684083914334,20.01,0.0362132520251206,0.0362132520251206,0.0362132520251206,0.002654109589041096,0.033559142436079506
1993-06-30,-0.008312353042000176,1.795,0.24790161541518252,18.84,-0.002964459425333965,-0.002964459425333965,-0.002964459425333965,0.00258986301369863,-0.005554322439032595
1993-07-31,-0.004831047571133951,1.7599999999999998,-0.01868545499060037,17.77,-0.0009800790670527748,-0.0009800790670527748,-0.0009800790670527748,0.0026812876712328767,-0.0036613667382856515
1993-08-31,0.022803416399229004,1.7319999999999998,-0.02670722718834906,18.8,0.030687830687830653,0.030687830687830653,0.030687830687830653,0.0026201369863013695,0.028067693701529284
1993-09-30,-0.00818291064308152,1.6100000000000003,-0.11610968434220226,17.62,-0.002384924709103342,-0.002384924709103342,-0.002384924709103342,0.002455068493150685,-0.004839993202254027
1993-10-31,0.022476135879479386,1.496,-0.24576395054999445,16.91,0.03153911300264789,0.03153911300264789,0.03153911300264789,0.0026286301369863015,0.02891048286566159
1993-11-30,-0.010883079192826717,1.6719999999999997,0.28079620589847654,15.88,-0.006630431393741643,-0.006630431393741643,-0.006630431393741643,0.0026030136986301368,-0.00923344509237178
1993-12-31,0.006544050111554345,1.6269999999999998,0.13348328908238827,14.48,0.010085264424334328,0.010085264424334328,0.010085264424334328,0.002609945205479452,0.007475319218854876
1994-01-31,0.018857646971396136,1.6360000000000006,0.11539540344597121,15.34,0.02605930667329548,0.02605930667329548,0.02605930667329548,0.0025453972602739725,0.023513909413021505
1994-02-28,-0.02691047015285042,1.6059999999999999,0.09371960925965972,14.57,-0.019996971685257048,-0.019996971685257048,-0.019996971685257048,0.002638904109589041,-0.022635875794846088
1994-03-31,-0.019724699398926848,1.6189999999999998,0.11204600373612017,15.08,-0.012823946273330389,-0.012823946273330389,-0.012823946273330389,0.003017616438356164,-0.015841562711686553
1994-04-30,-0.027243055450437037,1.388,0.023239667897315908,18.0,-0.02236041694925861,-0.02236041694925861,-0.02236041694925861,0.00314958904109589,-0.025510005990354502
1994-05-31,0.011168195679280846,1.2480000000000002,-0.2688412161210736,17.74,0.016286714480874265,0.016286714480874265,0.016286714480874265,0.003622328767123287,0.012664385713750979
1994-06-30,-0.03765295892716347,1.242,-0.37511250854050093,19.28,-0.03043414337022954,-0.03043414337022954,-0.03043414337022954,0.0034767123287671236,-0.03391085569899666
1994-07-31,0.031576683206314904,1.1290000000000004,0.21947903322721185,20.31,0.039090593995060985,0.039090593995060985,0.039090593995060985,0.0037064109589041096,0.035384183036156876
1994-08-31,0.03454299014454687,1.1269999999999998,-0.14517472304250223,17.14,0.04303003137606454,0.04303003137606454,0.04303003137606454,0.0039705479452054795,0.039059483430859056
